round,test_accuracy,test_loss,sampled_clients,trainable_params,upload_mb,download_mb,cumulative_mb,trainable_param_ratio
1,0.6882352941176471,1.2400600190256157,5,18308,0.3491973876953125,0.3491973876953125,0.698394775390625,0.019489118539998043
2,0.9784313725490196,1.0145355696771658,5,18308,0.3491973876953125,0.3491973876953125,1.39678955078125,0.019489118539998043
3,0.9921568627450981,0.7267523393911474,5,18308,0.3491973876953125,0.3491973876953125,2.095184326171875,0.019489118539998043
4,0.9980392156862745,0.43768892323269565,5,18308,0.3491973876953125,0.3491973876953125,2.7935791015625,0.019489118539998043
5,1.0,0.21734749049532648,5,18308,0.3491973876953125,0.3491973876953125,3.491973876953125,0.019489118539998043
6,1.0,0.09365066056158028,5,18308,0.3491973876953125,0.3491973876953125,4.19036865234375,0.019489118539998043
7,1.0,0.038741417185348626,5,18308,0.3491973876953125,0.3491973876953125,4.888763427734375,0.019489118539998043
8,1.0,0.01765585850339894,5,18308,0.3491973876953125,0.3491973876953125,5.587158203125,0.019489118539998043
9,1.0,0.008636911459924543,5,18308,0.3491973876953125,0.3491973876953125,6.285552978515625,0.019489118539998043
10,0.9980392156862745,0.005057547945419655,5,18308,0.3491973876953125,0.3491973876953125,6.98394775390625,0.019489118539998043
11,0.9980392156862745,0.00384488806457204,5,18308,0.3491973876953125,0.3491973876953125,7.682342529296875,0.019489118539998043
12,0.9980392156862745,0.0032356427777010728,5,18308,0.3491973876953125,0.3491973876953125,8.3807373046875,0.019489118539998043
13,1.0,0.001704802596713325,5,18308,0.3491973876953125,0.3491973876953125,9.079132080078125,0.019489118539998043
14,1.0,0.0006047661071551927,5,18308,0.3491973876953125,0.3491973876953125,9.77752685546875,0.019489118539998043
15,1.0,0.00033610032976367604,5,18308,0.3491973876953125,0.3491973876953125,10.475921630859375,0.019489118539998043
