run,rounds,final_acc,best_acc,best_round,final_loss,total_comm_mb,trainable_params
ablation_dirichlet_alpha0.01,15,0.4665354330708661,0.4665354330708661,15,3.1722040964862495,10.475921630859377,18308
ablation_dirichlet_alpha0.1,15,0.5049115913555993,0.6974459724950884,12,1.7854022218576815,10.475921630859377,18308
ablation_dirichlet_alpha0.5,15,0.984251968503937,0.9862204724409448,8,0.0482911022277328,10.475921630859377,18308
ablation_dirichlet_alpha1.0,15,1.0,1.0,9,0.0030066655347431,10.475921630859377,18308
ablation_dirichlet_iid,15,1.0,1.0,5,0.0003361003297636,10.475921630859377,18308
base,20,1.0,1.0,8,0.0002114339345878,14.74761962890625,19330
base_fast,3,0.48,0.48,1,1.777720332145691,0.791107177734375,17282
fatellm_lora_sent140,25,0.6318897637795275,0.7263779527559056,17,1.1328074040375358,35.40229797363281,37122
fatellm_lora_synthetic,20,1.0,1.0,2,0.0,28.32183837890625,37122
fedpeptao_sent140,25,0.5669291338582677,0.75,22,1.0390071268156758,18.434524536132812,19330
fedpeptao_shakespeare,15,0.0881578947368421,0.1092105263157894,6,3.168974018096924,7.355117797851563,6427
